Get Battle Info, killed, killed, killed, Shoot, Get Battle Info
None, killed, killed, killed, Get Battle Info, None
Get Battle Info, killed, killed, killed, None, Get Battle Info
Get Battle Info, killed, killed, killed, Get Battle Info, None
Get Battle Info, killed, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, killed, killed, killed, Rotate Left Quarter, None
Get Battle Info, killed, killed, killed, Get Battle Info, Get Battle Info
None, killed, killed, killed, None, Get Battle Info
Get Battle Info, killed, killed, killed, Get Battle Info, Get Battle Info
None, killed, killed, killed, None, Get Battle Info
Get Battle Info, killed, killed, killed, Get Battle Info, None
None, killed, killed, killed, None, Get Battle Info
Get Battle Info, killed, killed, killed, Get Battle Info, None
Get Battle Info, killed, killed, killed, Get Battle Info, Get Battle Info
Get Battle Info, killed, killed, killed, Rotate Left Quarter, None
Get Battle Info, killed, killed, killed, Get Battle Info, Get Battle Info
None, killed, killed, killed, Shoot, Get Battle Info
Get Battle Info (killed), killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, None, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, Move Forward, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Move Forward, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Move Forward, Get Battle Info
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, None, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, None, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Shoot, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, None, Get Battle Info
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, None, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, None, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Shoot, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Move Forward, Get Battle Info
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Shoot, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Rotate Left Eighth, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Rotate Left Eighth, None
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Shoot, Get Battle Info
killed, killed, killed, killed, Get Battle Info, Get Battle Info
killed, killed, killed, killed, Rotate Left Eighth, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, Rotate Left Eighth, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
killed, killed, killed, killed, Shoot, Get Battle Info
killed, killed, killed, killed, Get Battle Info, None
